CODIGO,TITULO
113,Ácido mandélico
114,Ácido mercaptúrico acrilamida
115,Ácido metil malônico
116,Ácido metilhipúrico
117,Ácido metoxiacético (2-metoxiacético)
118,Ácido metoxi-propiônico (ácido isobutírico)
119,Ácido monometilarsônico
120,Ácido orótico
121,Ácido oxálico
122,Ácido perfluorooctanoico
123,Ácido perfluorooctanossulfônico
124,Ácido pirúvico
125,Ácido S-(3-cloro-2-hidroxipropil) mercaptúrico
126,Ácido S(n-Propil)mercaptúrico
127,Ácido salicílico
128,Ácido siálico
129,Ácido tioglicólico
130,"Ácido trans, trans-mucônico"
131,"Ácido trans-3-(2,2-diclorovinil)-2,2-dimetilciclopropanocarboxilico"
132,Ácido trans-crisantemum-dicarboxilico
133,Ácido tricloroacético
134,Ácido trifluoroacético
135,Ácido úrico
136,Ácido valproico
137,Ácido vanilmandélico (VMA)
138,Ácido β-hidroxietoxi acético
1400,Ácidos biliares
139,Ácidos graxos livres
140,Ácidos orgânicos (perfil quantitativo)
141,Acilcarnitinas (perfil qualitativo)
1401,Acilcarnitinas (perfil quantitativo)
142,Actinobacillus (pesquisa)
143,Actinomadura (pesquisa)
144,Actinomyces (pesquisa)
145,Adenilatoquinase
146,Adenovírus - IgG
147,Adenovírus - IgM
148,"Adrenocorticotrófico, hormônio (ACTH)"
149,Adutos de DNA (pesquisa)
150,Adutos de proteínas (pesquisa)
151,Aflatoxinas (pesquisa)
152,Agente da doença crônica emaciante (pesquisa)
153,Agente da doença de Creutzfeldt-Jakob esporádica (pesquisa)
154,Agente da doença de Creutzfeldt-Jakob familiar (pesquisa)
155,Agente da doença de Creutzfeldt-Jakob iatrogênica (pesquisa)
156,Agente da doença de Creutzfeldt-Jakob variante (pesquisa)
157,Agente da encefalopatia espongiforme bovina (BSE) (pesquisa)
158,Agente da encefalopatia espongiforme bovina tipo-H (pesquisa)
159,Agente da encefalopatia espongiforme em ungulados exóticos (pesquisa)
160,Agente da encefalopatia espongiforme felina (pesquisa)
161,Agente da insônia fatal esporádica (pesquisa)
162,Agente da insônia fatal familiar de Gerstmann-Sträussler-Scheinker (pesquisa)
163,Agente da Kuru (pesquisa)
164,Agente da prionopatia variante protease-resistente (pesquisa)
165,Agente do tremor epizoótico (scrapie disease) (pesquisa)
166,Agente do tremor epizoótico (scrapie disease) atípico (pesquisa)
167,Ajellomyces (pesquisa)
168,Albumina
169,Albumina S-metilcisteína
170,Alcaligenes (pesquisa)
171,Alcaptonúria
172,Aldolase
173,Aldosterona
174,Alérgenos - Perfil antigênico (painel C/36 antígenos)
176,"Alfa-1-antitripsina, dosagem no soro"
177,Alfa-1-glicoproteína ácida
175,Alfa-1-microglobulina na urina
178,"Alfa-2-antiplasmina, teste funcional"
179,Alfa-2-macroglobulina
180,Alfa-amilase
181,Alfa-fetoproteína
182,Alfa-hexaclorociclo-hexano
183,Alumínio plasmático
184,Alumínio urinário
185,Amebíase - IgG
186,Amebíase - IgM
187,Amilase
188,"Aminoácidos, fracionamento e quantificação"
189,Amiodarona
190,Amitriptilina
191,Amônia
192,AMP cíclico
193,Ancylostoma (pesquisa)
194,Androstenediona
195,Anfetaminas
196,Angiostrongylus (pesquisa)
197,Anilina sanguínea
198,Anilina urinária
199,Anilina-hemoglobina
200,Anisakis (pesquisa)
201,Anti-12-hidroxi-endrin urinário
202,Anti-actina
203,Antibiograma
204,"Antibióticos, dosagem no soro"
205,Anticandida - IgG e IgM
206,Anticardiolipina - IgA
207,Anticardiolipina - IgG
208,Anticardiolipina - IgM
209,Anticentrômero
210,Anticoagulante lúpico
211,Anticorpo anti A e B
212,Anticorpo anti saccharamyces - ASCA
213,Anticorpo anti-DNAse B
214,Anticorpo anti-hormônio do crescimento
215,"Anticorpo antimieloperoxidase, MPO"
216,Anticorpo anti-receptor de TSH (TRAB)
217,Anticorpo antivírus da hepatite E
218,"Anticorpos antiendomisio - IgG, IgM, IgA"
219,Anticorpos anti-ilhota de langherans
220,Anticorpos anti-influenza A - IgG
221,Anticorpos anti-influenza A - IgM
222,Anticorpos anti-influenza B - IgG
223,Anticorpos anti-influenza B - IgM
224,Anticorpos antiinsulina
225,"Anticorpos antiplaquetários, citometria de fluxo"
226,Anticorpos antitireóide (tireoglobulina)
227,Anticorpos irregulares
1402,Anticorpos naturais - Isoaglutininas
228,Anticortex supra-renal
229,Antidesoxiribonuclease B
230,Anti-DMP
231,Anti-DNA
232,Antiescleroderma
233,Antifígado
235,Antígeno carcinoembriogênico (CEA)
236,Antígeno de diferenciação celular
237,Antígeno específico prostático livre (PSA livre)
238,Antígeno específico prostático total (PSA)
239,"Antígenos fúngicos, pesquisa"
240,Antígenos metílicos solúveis do BCG
241,Antigliadina (glúten) - IgA
242,Antigliadina (glúten) - IgG
243,Antigliadina (glúten) - IgM
244,Anti-hialuronidase
245,Anti-JO1
246,Anti-LA/SSB
247,Anti-LKM-1
248,Antimembrana basal
249,Antimicrossomal
250,Antimitocondria
251,"Antimitocondria, M2"
252,Antimônio urinário
253,Antimúsculo cardíaco
254,Antimúsculo estriado
255,Antimúsculo liso
256,Antineutrófilos (anca) C
257,Antineutrófilos (anca) P
258,Antiparietal
259,Antiperoxidase tireoideana
260,Anti-RNP
261,Anti-Ro/SSA
262,Anti-Sm
263,Anti-TPO
264,Antitrombina III
265,Antrax (pesquisa)
266,Apolipoproteína A (Apo A)
267,Apolipoproteína B (Apo B)
268,Apolipoproteína E
270,Arcanobacterium (pesquisa)
271,Arsênico +III urinário
272,Arsênico +V urinário
273,Arsênico capilar
274,Arsênico Inorgânico urinário
275,Arsênio - Metabólitos metilados urinários
276,Ascaris (pesquisa)
277,Aslo
278,Aspergillus (pesquisa)
279,"Aspergilus, reação sorológica"
280,Ativador tissular de plasminogênio (TPA)
282,Audiometria de tronco cerebral (PEA) BERA
283,Audiometria tonal limiar com testes de discriminação
281,Audiometria tonal ocupacional
284,Audiometria vocal - Pesquisa de limiar de discriminação
285,Audiometria vocal - Pesquisa de limiar de inteligibilidade
286,Avaliação clínica com ênfase cardiocirculatória (anamnese e exame físico)
287,Avaliação clínica com ênfase dermatológica (anamnese e exame físico)
288,Avaliação clínica com ênfase gastrointestinal (anamnese e exame físico)
289,Avaliação clínica com ênfase mental (anamnese e exame físico)
290,Avaliação clínica com ênfase neurológca (anamnese e exame físico)
291,Avaliação clínica com ênfase neurossensorial (anamnese e exame físico)
292,Avaliação clínica com ênfase ortopédica (anamnese e exame físico)
293,Avaliação clínica com ênfase respiratória (anamnese e exame físico)
294,Avaliação clínica com ênfase urogenital (anamnese e exame físico)
295,Avaliação clínica ocupacional (anamnese e exame físico)
296,Avaliação da acuidade visual
297,Avaliação da estereopsia
298,Avaliação da visão de cores
299,Avaliação do campo visual
300,Avaliação psicossocial
301,"Azida sódica, teste da"
302,B.A.A.R. (Ziehl ou fluorescência)
303,Babesia (pesquisa)
304,Bacillus (pesquisa)
305,Bacterioscopia
306,Bacteroides (pesquisa)
307,Balantidium (pesquisa)
308,"Barbitúricos, antidepressivos tricíclicos"
309,Bário urinário
310,Bartituratos
311,Bartonella (pesquisa)
312,Benzeno urinário
313,Benzidina eritrocitária
314,Benzidina urinária
315,Benzodiazepínicos e similares
316,Berílio urinário
317,Beta mercapto-lactato-disulfidúria
318,Beta-2-microglobulina
319,Beta-glicuronidase
320,Beta-hexaclorociclo-hexano
321,"Bilirrubinas (direta, indireta e total)"
322,Biotinidase atividade
323,"Bisfenol A (4,4-isopropiledenedifenol)"
324,Bismuto plasmático
325,Bismuto urinário
326,Blastocystis (pesquisa)
327,"Blastomicose, reação sorológica"
328,Blastomyces (pesquisa)
329,Bocavírus humano (pesquisa)
330,Boro
331,Borrelia (pesquisa)
332,Brachispira (pesquisa)
333,Brometo
334,Bromofós sanguíneo
335,Bromofós urinário
336,Brucela - IgG
337,Brucela - IgM
338,"Brucela, prova rápida"
339,Brucella (pesquisa)
340,Brugia (pesquisa)
341,Bunyavírus germiston (pesquisa)
342,Burkholderia (pesquisa)
343,Buta-2-ona
344,Butanol sanguíneo
1429,Butilcolinesterase no plasma ou soro
345,C1q
346,C3 proativador
347,C3A (fator B)
348,CA 50
349,CA-242
350,CA-27-29
351,Cádmio sanguíneo
352,Cádmio urinário
353,Cálcio
354,Cálcio iônico
355,Calcitonina
356,Campylobacter (pesquisa)
357,Campylobacter (pesquisa)
358,Candida (pesquisa)
359,Capacidade de fixação de ferro
360,Capillaria (pesquisa)
362,Carbamazepina
361,Carbendazim
363,Carbofuranfenol
364,Carboxihemoglobina
365,Cardiobacterium (pesquisa)
366,Carnitina livre
367,Carnitina total e frações
368,Caroteno
369,Catecolaminas
370,"Catecolaminas fracionadas - Dopamina, epinefrina, norepinefrina na urina"
371,Caxumba - IgG
372,Caxumba - IgM
373,"CEE vírus, pesquisa"
374,Células LE
375,Ceruloplasmina
376,Césio urinário
377,Chagas - IgG
378,Chagas - IgM
379,Chlamydia - IgG
380,Chlamydia - IgM
381,"Chlamydia, cultura"
382,Chlamydophila (pesquisa)
383,Chlormequat
384,Chumbo dietila
385,Chumbo sanguíneo
386,Chumbo total
387,Chumbo urinário
388,Cianeto (cianureto) sanguíneo
389,Ciclofosfamida
390,Ciclo-hexanodiol
391,Ciclo-hexanol
392,Ciclosporina
393,"Cisticercose, AC"
394,Cistinúria
395,cis-δ4 tetrahidroftalimida (THPI)
396,Citomegalovírus - shell vial
397,Citomegalovírus - IgG
398,Citomegalovírus - IgM
399,Cladophialophora (pesquisa)
400,Cladosporium (pesquisa)
401,"Clamídia, pesquisa"
402,Clearance de ácido úrico
403,Clearance de creatinina
404,Clearance de fosfato
405,Clearance de uréia
406,Clearance osmolar
407,Clomipramina
408,Clonorchis (pesquisa)
409,Cloreto de metileno sanguíneo
410,Cloro
411,Clorofenol
412,Clorofórmio
413,Clostridium (pesquisa)
414,"Clostridium difficile, toxina A"
415,Coagulograma
416,Cobalto sanguíneo
417,Cobalto urinário
418,Cobre sanguíneo
419,Cobre urinário
420,Cocaína
421,Coccidioides (pesquisa)
422,Cólera (pesquisa)
423,Colesterol (HDL)
424,Colesterol (LDL)
425,Colesterol (VLDL)
426,Colesterol total
427,Complemento C2
428,Complemento C3
429,Complemento C4
430,Complemento C5
431,Complemento CH-100
432,Complemento CH-50
433,Composto S (11-desoxicortisol)
434,Consumo de protrombina
435,Contagem de eosinófilos
436,Contagem sanguínea diferencial
437,Contagem sedimentar de Addis
438,Contracaecum (pesquisa)
439,Coombs direto
440,Coombs indireto
441,"Coprológico funcional (caracteres, pH, digestibilidade, amônia, ácidos orgânicos e interpretação)"
442,Coproporfirina III na urina
443,Coproporfirinas
444,Coronavírus (pesquisa)
445,Coronavírus humano 229E (pesquisa)
446,Coronavírus relacionado à MERS (pesquisa)
447,Coronavírus relacionado à SARS (pesquisa)
1419,Coronavírus/COVID-19 - SARS-CoV-2 - IgA
1420,Coronavírus/COVID-19 - SARS-CoV-2 - IgG
1421,Coronavírus/COVID-19 - SARS-CoV-2 - IgM
1422,Coronavírus/COVID-19 - SARS-CoV-2 - Pesquisa de antígeno
1423,Coronavírus/COVID-19 - SARS-CoV-2 - RT-PCR
448,Corpos cetônicos na urina
449,Corpúsculos de Donovani
450,Cortisol
451,Cortisol livre
452,Corynebacterium (pesquisa)
453,Cotinina
454,Coxiella (pesquisa)
455,Creatina
456,Creatinina
457,Creatino fosfoquinase - Fração MB
458,Creatino fosfoquinase total (CK)
459,Cresol urinário
460,Crioaglutinina
461,Crioglobulinas
462,"Criptococo (tinta da China), pesquisa de"
463,Cromatografia de açúcares na urina
464,Cromatografia de aminoácidos
465,Cromo eritrocitário
466,Cromo sanguíneo
467,Cromo urinário
468,Cromossomo philadelfia
469,Cryptococcus (pesquisa)
470,Cryptosporidium (pesquisa)
471,Cultura bacteriana
1403,Cultura de urina (urocultura)
472,"Cultura nas fezes: salmonela, shigellae e E. coli enteropatogênicas, enteroinvasora (sorol. incluída) + campylobacter SP. + E. coli enterohemorrágica"
473,Cultura para bactérias anaeróbicas
474,Cultura para Criptosporidium
475,Cultura para fungos
476,Cultura para mycobacterium
477,Cultura quantitativa de secreções pulmonares
478,Curva glicêmica
479,Curva insulínica
480,Cyclospora (pesquisa)
481,Dehidroepiandrosterona (DHEA)
482,Dehidrotestosterona (DHT)
483,Dengue - IgG
484,Dengue - IgM
485,Desidrogenase alfa-hidroxibutírica
486,Desidrogenase glutâmica
487,Desidrogenase isocítrica
488,Desidrogenase láctica
489,Desipramina
490,Desoxicorticosterona
491,Dialdeído malônico
492,Diclorodifenil tricloroetano (DDT) sanguíneo
493,Diclorodifenildicloroetileno (DDE) sanguíneo
494,Dicloroetano
495,Dicloroeteno
496,Diclorometano
497,Dicrocoelium (pesquisa)
498,Dieldrin sanguíneo
499,Dientamoeba (pesquisa)
500,Dietilditiofosfato
501,Dietilditiofosfato urinário (DEDTP)
502,Dietilestilbestrol
503,Dietilfosfato
504,Dietilfosfato urinário (DEP)
505,Dietilltiofosfato urinário (DETP)
506,Dietiltiofosfato
507,Digitoxina ou digoxina
508,Dímero D
509,Dimetilditiofosfato
510,Dimetilditiofosfato urinário (DMDTP)
511,Dimetilfosfato
512,Dimetilfosfato urinário (DMP)
513,Dimetil-selênio respiratório (ar expirado)
514,Dimetiltiofosfato
515,Dimetiltiofosfato urinário (DMTP)
516,Di-n-butil fosfato
517,Dinitrato-etileno-glicol
518,Dinitrofenol
519,Dinoseb
520,Dipetalonema (pesquisa)
521,Diphyllobothrium (pesquisa)
522,Diquat urinário
523,Dissulfeto de carbono
524,DNCB Teste de Contato
525,Doppler colorido arterial de membro inferior
526,Doppler colorido arterial de membro superior
527,Dosagem de receptor de progesterona ou de estrogênio
528,Dracunculus (pesquisa)
529,Ebola (pesquisa)
530,ECG (Eletrocardiograma) convencional de até 12 derivações
531,ECG (Eletrocardiograma) de alta resolução
532,Echinococcus (pesquisa)
533,"Echovírus (painel), sorologia para"
534,Echovírus (pesquisa)
535,Edwardsiella (pesquisa)
536,EEG (Eletroencefalograma) de rotina
537,Ehrlichia (pesquisa)
538,Eikenella (pesquisa)
540,Eletroforese de glicoproteínas
541,Eletroforese de lipoproteínas
539,Eletroforese de proteínas
542,Eletroforese de proteínas urinárias
543,Eletroneuromiografia de MMII
544,Eletroneuromiografia de MMSS
545,Elizabethkingia (pesquisa)
546,Emmonsia (pesquisa)
547,Encefalite japonesa B (pesquisa)
548,Encephalitozoon (pesquisa)
549,Endotoxinas (pesquisa)
550,Endrin sanguíneo
551,Enolase
552,Entamoeba (pesquisa)
553,Enterobacter (pesquisa)
554,Enterobius (pesquisa)
555,Enterococcus (pesquisa)
556,Enterocytozoon (pesquisa)
557,"Enterovírus humano A, B e C (pesquisa)"
558,Enzima conversora da angiotensina (ECA)
559,Enzimas eritrocitárias
560,Epidermophyton (pesquisa)
561,"Equinococose (hidatidose), reação"
562,"Ergoespirometria ou teste cardiopulmonar de exercício completo (espirometria forçada, consumo de O2, produção de CO2 e derivados, ECG, oximetria)"
563,Eritropoietina
564,Erysipelothrix (pesquisa)
565,Escândio urinário
566,Escherichia (pesquisa)
567,Escherichia coli (pesquisa)
568,Espermograma
569,Esplenograma (citologia)
570,"Esporotricose, reação sorológica"
571,Esporotriquina
572,Estanho urinário
573,Estireno sanguíneo
1427,Estireno urinário
574,Estradiol
575,Estreptozima
576,Estriol
577,Estrogênios totais (fenolesteróides)
578,Estrona
579,Estrôncio urinário
580,Etanol
581,Etilenotioureia (ETU)
582,Etossuximida
583,Exame a fresco de amostra biológica
584,Exame bacteriológico de fezes
585,Exame de fundo de olho
1432,Exame oftalmológico com avaliação de retina e/ou cristalino
586,Exophiala (pesquisa)
587,"Falcização, teste de"
588,Fasciola (pesquisa)
589,Fasciolopsis (pesquisa)
590,Fator 4 plaquetário
591,Fator antinúcleo (FAN)
592,Fator II
593,Fator IX
594,Fator reumatóide
595,Fator V
597,Fator VII
598,Fator VIII
599,"Fator VIII, dosagem do antígeno (Von Willebrand)"
600,"Fator VIII, dosagem do inibidor"
601,Fator X
602,Fator XI
603,Fator XII
604,Fator XIII
605,Fenilalanina
606,Fenilcetonúria
607,Fenitoína
608,Fenobarbital
609,Fenol
610,Fenotipagem do sistema Rh-Hr (anti Rho(D) + anti Rh(C) + anti Rh(E)
611,"Fenotipagem do sistema RH-HR (D, C, E, C E C)"
612,Ferritina
613,Ferro sérico
614,"Fibrinogênio, teste funcional"
615,Filária (pesquisa)
616,Filaria (sorologia)
617,Filobasidiella (pesquisa)
618,Flavobacterium (pesquisa)
619,"Flavovírus, pesquisa"
620,Fluazifop urinário
621,Flufenoxuron sanguíneo
622,Flúor sanguíneo
623,Flúor urinário
624,Fluoreto urinário
625,Fluoribacter (pesquisa)
626,"Folículo estimulante, hormônio (FSH)"
627,Fonsecaea (pesquisa)
628,Formaldeído
629,Fosfatase ácida fração prostática
630,Fosfatase ácida total
631,Fosfatase alcalina
632,Fosfatase alcalina fração óssea
633,Fosfatase alcalina termo-estável
634,Fosfina sanguínea
635,Fosfofructoquinase
636,Fosfoglicerato quinase
637,Fosfolipídios
638,Fósforo
639,Francisella (pesquisa)
1404,FREI (linfogranuloma venéreo) IDeR
640,Frutosaminas
641,Frutose
642,Frutosúria
643,"Fungos, pesquisa a fresco"
644,Fusarium (pesquisa)
645,Fusobacterium (pesquisa)
646,Gad-Ab-antidescarboxilase do ácido glutâmico
647,Gadolínio urinário
648,Galactose
649,Galactose 1-fosfatouridil transferase
650,Galactosúria
651,Gálio urinário
652,Gama-glutamil transferase (gama-GT)
653,Gardnerella (pesquisa)
654,Gastrina
655,Geotrichum (pesquisa)
656,Giardia (pesquisa)
657,Giardia (sorologia)
658,Glicemia
659,Glicemia após sobrecarga com dextrosol ou glicose
660,"Gliceraldeído, 3-fosfato desidrogenase"
661,Glicose 6-fosfato desidrogenase
662,Glicose fosfato isomerase
663,Glifosato
664,Globulina
665,Globulina de ligação de hormônios sexuais (SHBG)
666,Globulina transportadora da tiroxina (TBG)
667,Glucagon
668,Glutation
669,Glutation peroxidase
670,Gonococo - IgG
671,Gonococo - IgM
672,"Grupo ABO, classificação reversa"
673,"Grupo sanguíneo ABO, e fator Rho (inclui Du)"
674,Haemophilus (pesquisa)
675,Háfnio urinário
676,"Ham, teste de (hemólise ácida)"
677,"Hansen, pesquisa de"
678,Haptoglobina
679,"Heinz, corpúsculos"
680,Helicobacter (pesquisa)
681,Helicobacter pylori - IgA
682,Helicobacter pylori - IgG
683,Helicobacter pylori - IgM
684,Hemácias fetais
685,Hematócrito
686,Hemocultura
687,Hemoglobina
688,Hemoglobina (eletroforese ou HPLC)
689,Hemoglobina glicada (A1 total)
690,Hemoglobina glicada (Fração A1c)
691,Hemoglobina plasmática livre
692,"Hemoglobina, solubilidade (HbS e HbD)"
693,"Hemograma com contagem de plaquetas ou frações (eritrograma, leucograma, plaquetas)"
694,Hemophilus (bordetella) pertussis (pesquisa)
695,"Hemossedimentação, (VHS)"
696,"Hemossiderina (siderócitos), sangue"
697,"Hemossiderina (siderócitos), urina"
698,Heparina
699,Hepatite A - HAV - IgG
700,Hepatite A - HAV - IgM
702,Hepatite B - HBCAC - IgG
701,Hepatite B - HBCAC - IgM
703,Hepatite B - HBeAC (anti-HBE)
1405,Hepatite B - HBeAG
704,Hepatite B - HBsAC (anti-HBs)
234,Hepatite B - HBsAG
705,Hepatite C - Anti-HCV - IgG
706,Hepatite C - Anti-HCV - IgM
707,Hepatite delta - IgG
708,Hepatite delta - IgM
709,"Hepatite delta, antigeno"
710,Heptacloro-epóxido
711,HER-2 - Dosagem do receptor
712,Herpes simples - IgG
713,Herpes simples - IgM
714,Herpes zóster - IgG
715,Herpes zóster - IgM
716,Herpesvírus (pesquisa)
717,Heterophyes (pesquisa)
718,Hexaclorobenzeno
719,Hexafluoroisopropanol (HFIP)
720,"Hexametilenodiamina (1,6-hexametilenodiamina)"
721,Hexona (metil isobutil cetona)
722,Hexosaminidase A
723,Hidrazina
724,Hidroxiprogesterona
725,Hidroxiprolina
726,Hipersensibilidade retardada (intradermo reação IDeR)
727,Histamina
728,Histidina na urina
729,Histona
730,Histoplasma (pesquisa)
731,Histoplasmose
732,HIV - Antígeno P24
733,"HIV1 ou HIV2, pesquisa de anticorpos"
734,HLA-DR
735,HLA-DR+DQ
736,Homocisteína
737,Hormônio antidiurético
738,Hormônio do crescimento (HGH)
739,Hormônio gonodotrofico corionico
740,Hormônio luteinizante (LH)
741,Hormônio tireoestimulante (TSH)
742,HPV (vírus do papiloma humano)
743,HTLV-I / II
744,Hymenolepis (pesquisa)
745,Identificação de helmintos
746,Ifosfamida
747,IgA
748,IgA na saliva
749,IgD
750,IgE
751,"IGF BP3 (proteína ligadora dos fatores de crescimento ""insulinlike"")"
752,IgG
753,IgM
754,Imipramina
755,Impedanciometria
756,Imunocomplexos circulantes
757,"Imunocomplexos circulantes, com células Raji"
758,Imunoeletroforese (estudo da gamopatia)
759,Imunofenotipagem para doença residual mínima
760,Imunofenotipagem para hemoglobinúria paroxistica noturna
761,Imunofenotipagem para leucemias agudas ou sindrome mielodisplásica
762,Imunofenotipagem para linfoma não Hodgkin / sindrome linfoproliferativa crônica
763,Imunofenotipagem para perfil imune
764,Imunofixação
765,Índice de tiroxina livre (ITL)
766,Índio urinário
767,Inibidor de C1 esterase
768,Inibidor do fator IX
769,Inibidor do TPA (PAI)
770,Inibidor dos fatores da hemostasia
771,Insulina
772,Iodo
773,Iodo proteico (PBI)
774,"Iontoforese para a coleta de suor, com dosagem de cloro"
775,Irídio urinário
776,Isoaglutininas
777,Isobutanol urinário
778,Isoforonodiamina
779,"Isolamento de agentes específicos (vírus, bactérias, protozoários, fungos, outros parasitas)"
780,Isomerase fosfohexose
781,Isoniazida
782,Isopropanol urinário
783,Isospora (pesquisa)
784,Isospora (sorologia)
785,"Ito (cancro mole), IDeR"
786,Ítrio urinário
787,Klebsiella (pesquisa)
788,"Kveim (sarcoidose), IDeR"
789,Lactogênico placentário-hormônio
790,"Lactose, teste de tolerância"
791,Lamotrigina
792,"Larvas (fezes), pesquisa"
793,"Lassa vírus, pesquisa"
794,Legionella - IgG
795,Legionella - IgM
796,Leishmania (pesquisa)
797,Leishmaniose - IgG
798,Leishmaniose - IgM
799,Leptina
1406,Leptospira (pesquisa)
800,Leptospirose - IgG
801,Leptospirose - IgM
802,Leucino aminopeptidase
804,"Leucócitos e hemácias, pesquisa nas fezes"
803,"Leucócitos, contagem (leucograma)"
806,"Leveduras, pesquisa nas fezes"
807,Lichtheimia (pesquisa)
808,Lidocaina
809,Lindano (γ-HCH) gama-hexaclorociclo-hexano
810,"Linfócitos T ""helper"" contagem de (IF com OKT-4) (CD-4+)"
811,Linfócitos T supressores contagem de (IF com OKT-8)
812,Lipase
813,Lipase lipoprotéica
814,Lipídios totais
815,Lipóides na urina
816,Lipoproteína (a) - Lp (a)
817,Listeria (pesquisa)
818,"Listeriose, reação sorológica"
819,Lítio sanguíneo
820,Lítio urinário
821,Loa (pesquisa)
822,Lyme - IgG
823,Lyme - IgM
824,Lyssavírus (pesquisa)
825,Lyssavírus do morcego Australiano (pesquisa)
826,Lyssavírus do morcego europeu tipos 1 e 2 (pesquisa)
827,Macroprolactina
828,Madurella (pesquisa)
829,Magnésio
830,Malária - IgG
831,Malária - IgM
832,Malassezia (pesquisa)
833,Malation urinário
834,"Maltose, teste de tolerância"
836,Manganês sanguíneo
