codigo,descricao,grau_risco
0210-1/99,Produção de produtos não madeireiros não especificados anteriormente em florestas plantadas,3
0220-9/01,Extração de madeira em florestas nativas,4
0220-9/02,Produção de carvão vegetal - florestas nativas,4
0220-9/03,Coleta de castanha-do-pará em florestas nativas,4
0220-9/04,Coleta de látex em florestas nativas,4
0220-9/05,Coleta de palmito em florestas nativas,4
0220-9/06,Conservação de florestas nativas,4
0220-9/99,Coleta de produtos não madeireiros não especificados anteriormente em florestas nativas,4
0230-6/00,Atividades de apoio à produção florestal,3
0311-6/01,Pesca de peixes em água salgada,3
0311-6/02,Pesca de crustáceos e moluscos em água salgada,3
0311-6/03,Coleta de outros produtos marinhos,3
0311-6/04,Atividades de apoio à pesca em água salgada,3
0312-4/01,Pesca de peixes em água doce,3
0312-4/02,Pesca de crustáceos e moluscos em água doce,3
0312-4/03,Coleta de outros produtos aquáticos de água doce,3
0312-4/04,Atividades de apoio à pesca em água doce,3
0321-3/01,Criação de peixes em água salgada e salobra,3
0321-3/02,Criação de camarões em água salgada e salobra,3
0321-3/03,Criação de ostras e mexilhões em água salgada e salobra,3
0321-3/04,Criação de peixes ornamentais em água salgada e salobra,3
0321-3/05,Atividades de apoio à aquicultura em água salgada e salobra,3
0321-3/99,Cultivos e semicultivos da aquicultura em água salgada e salobra não especificados anteriormente,3
0322-1/01,Criação de peixes em água doce,3
0322-1/02,Criação de camarões em água doce,3
0322-1/03,Criação de ostras e mexilhões em água doce,3
0322-1/04,Criação de peixes ornamentais em água doce,3
0322-1/05,Ranicultura,3
0322-1/06,Criação de jacaré,3
0322-1/07,Atividades de apoio à aquicultura em água doce,3
0322-1/99,Cultivos e semicultivos da aquicultura em água doce não especificados anteriormente,3
0500-3/01,Extração de carvão mineral,4
0500-3/02,Beneficiamento de carvão mineral,4
0600-0/01,Extração de petróleo e gás natural,4
0600-0/02,Extração e beneficiamento de xisto,4
0600-0/03,Extração e beneficiamento de areias betuminosas,4
0710-3/01,Extração de minério de ferro,4
0710-3/02,"Pelotização, sinterização e outros beneficiamentos de minério de ferro",4
0721-9/01,Extração de minério de alumínio,4
0721-9/02,Beneficiamento de minério de alumínio,4
0722-7/01,Extração de minério de estanho,4
0722-7/02,Beneficiamento de minério de estanho,4
0723-5/01,Extração de minério de manganês,4
0723-5/02,Beneficiamento de minério de manganês,4
0724-3/01,Extração de minério de metais preciosos,4
0724-3/02,Beneficiamento de minério de metais preciosos,4
0725-1/00,Extração de minerais radioativos,4
0729-4/01,Extração de minérios de nióbio e titânio,4
0729-4/02,Extração de minério de tungstênio,4
0729-4/03,Extração de minério de níquel,4
0729-4/04,"Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente",4
0729-4/05,"Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente",4
0810-0/01,Extração de ardósia e beneficiamento associado,4
0810-0/02,Extração de granito e beneficiamento associado,4
0810-0/03,Extração de mármore e beneficiamento associado,4
0810-0/04,Extração de calcário e dolomita e beneficiamento associado,4
0810-0/05,Extração de gesso e caulim,4
0810-0/06,"Extração de areia, cascalho ou pedregulho e beneficiamento associado",4
0810-0/07,Extração de argila e beneficiamento associado,4
0810-0/08,Extração de saibro e beneficiamento associado,4
0810-0/09,Extração de basalto e beneficiamento associado,4
0810-0/10,Beneficiamento de gesso e caulim associado à extração,4
0810-0/99,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,4
0891-6/00,"Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos",4
0892-4/01,Extração de sal marinho,4
0892-4/02,Extração de sal-gema,4
0892-4/03,Refino e outros tratamentos do sal,4
0893-2/00,Extração de gemas (pedras preciosas e semipreciosas),4
0899-1/01,Extração de grafita,4
0899-1/02,Extração de quartzo,4
0899-1/03,Extração de amianto,4
0899-1/99,Extração de outros minerais não metálicos não especificados anteriormente,4
0910-6/00,Atividades de apoio à extração de petróleo e gás natural,4
0990-4/01,Atividades de apoio à extração de minério de ferro,4
0990-4/02,Atividades de apoio à extração de minerais metálicos não ferrosos,4
0990-4/03,Atividades de apoio à extração de minerais não metálicos,4
1011-2/01,Frigorífico - abate de bovinos,3
1011-2/02,Frigorífico - abate de equinos,3
1011-2/03,Frigorífico - abate de ovinos e caprinos,3
1011-2/04,Frigorífico - abate de bufalinos,3
1011-2/05,"Matadouro - abate de reses sob contrato, exceto abate de suínos",3
1012-1/01,Abate de aves,3
1012-1/02,Abate de pequenos animais,3
1012-1/03,Frigorífico - abate de suínos,3
1012-1/04,Matadouro - abate de suínos sob contrato,3
1013-9/01,Fabricação de produtos de carne,3
1013-9/02,Preparação de subprodutos do abate,3
1020-1/01,"Preservação de peixes, crustáceos e moluscos",3
1020-1/02,"Fabricação de conservas de peixes, crustáceos e moluscos",3
1031-7/00,Fabricação de conservas de frutas,3
1032-5/01,Fabricação de conservas de palmito,3
1032-5/99,"Fabricação de conservas de legumes e outros vegetais, exceto palmito",3
1033-3/01,"Fabricação de sucos concentrados de frutas, hortaliças e legumes",3
1033-3/02,"Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados",3
1041-4/00,"Fabricação de óleos vegetais em bruto, exceto óleo de milho",3
1042-2/00,"Fabricação de óleos vegetais refinados, exceto óleo de milho",3
1043-1/00,Fabricação de margarina e outras gorduras vegetais e de óleos não comestíveis de animais,3
1051-1/00,Preparação do leite,3
1052-0/00,Fabricação de laticínios,3
1053-8/00,Fabricação de sorvetes e outros gelados comestíveis,3
1061-9/01,Beneficiamento de arroz,3
1061-9/02,Fabricação de produtos do arroz,3
1062-7/00,Moagem de trigo e fabricação de derivados,3
1063-5/00,Fabricação de farinha de mandioca e derivados,3
1064-3/00,"Fabricação de farinha de milho e derivados, exceto óleos de milho",3
1065-1/01,Fabricação de amidos e féculas de vegetais,3
1065-1/02,Fabricação de óleo de milho em bruto,3
1065-1/03,Fabricação de óleo de milho refinado,3
1066-0/00,Fabricação de alimentos para animais,3
1069-4/00,Moagem e fabricação de produtos de origem vegetal não especificados anteriormente,3
1071-6/00,Fabricação de açúcar em bruto,3
1072-4/01,Fabricação de açúcar de cana refinado,3
1072-4/02,Fabricação de açúcar de cereais (dextrose) e de beterraba,3
1081-3/01,Beneficiamento de café,3
1081-3/02,Torrefação e moagem de café,3
1082-1/00,Fabricação de produtos à base de café,3
1091-1/01,Fabricação de produtos de panificação industrial,3
1091-1/02,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,3
1092-9/00,Fabricação de biscoitos e bolachas,3
1093-7/01,Fabricação de produtos derivados do cacau e de chocolates,3
1093-7/02,"Fabricação de frutas cristalizadas, balas e semelhantes",3
1094-5/00,Fabricação de massas alimentícias,3
1095-3/00,"Fabricação de especiarias, molhos, temperos e condimentos",3
1096-1/00,Fabricação de alimentos e pratos prontos,3
1099-6/01,Fabricação de vinagres,3
1099-6/02,Fabricação de pós-alimentícios,3
1099-6/03,Fabricação de fermentos e leveduras,3
1099-6/04,Fabricação de gelo comum,3
1099-6/05,"Fabricação de produtos para infusão (chá, mate, etc.)",3
1099-6/06,Fabricação de adoçantes naturais e artificiais,3
1099-6/07,Fabricação de alimentos dietéticos e complementos alimentares,3
1099-6/99,Fabricação de outros produtos alimentícios não especificados anteriormente,3
1111-9/01,Fabricação de aguardente de cana-de-açúcar,3
1111-9/02,Fabricação de outras aguardentes e bebidas destiladas,3
1112-7/00,Fabricação de vinho,3
1113-5/01,"Fabricação de malte, inclusive malte uísque",3
1113-5/02,Fabricação de cervejas e chopes,3
1121-6/00,Fabricação de águas envasadas,3
1122-4/01,Fabricação de refrigerantes,3
1122-4/02,Fabricação de chá mate e outros chás prontos para consumo,3
1122-4/03,"Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas",3
1122-4/04,Fabricação de bebidas isotônicas,3
1122-4/99,Fabricação de outras bebidas não alcoólicas não especificadas anteriormente,3
1210-7/00,Processamento industrial do fumo,3
1220-4/01,Fabricação de cigarros,3
1220-4/02,Fabricação de cigarrilhas e charutos,3
1220-4/03,Fabricação de filtros para cigarros,3
1220-4/99,"Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos",3
1311-1/00,Preparação e fiação de fibras de algodão,3
1312-0/00,"Preparação e fiação de fibras têxteis naturais, exceto algodão",3
1313-8/00,Fiação de fibras artificiais e sintéticas,3
1314-6/00,Fabricação de linhas para costurar e bordar,3
1321-9/00,Tecelagem de fios de algodão,3
1322-7/00,"Tecelagem de fios de fibras têxteis naturais, exceto algodão",3
1323-5/00,Tecelagem de fios de fibras artificiais e sintéticas,3
1330-8/00,Fabricação de tecidos de malha,3
1340-5/01,"Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário",3
1340-5/02,"Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário",3
1340-5/99,"Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário",3
1351-1/00,Fabricação de artefatos têxteis para uso doméstico,3
1352-9/00,Fabricação de artefatos de tapeçaria,3
1353-7/00,Fabricação de artefatos de cordoaria,3
1354-5/00,"Fabricação de tecidos especiais, inclusive artefatos",3
1359-6/00,Fabricação de outros produtos têxteis não especificados anteriormente,3
1411-8/01,Confecção de roupas íntimas,2
1411-8/02,Facção de roupas íntimas,2
1412-6/01,"Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida",2
1412-6/02,"Confecção, sob medida, de peças do vestuário, exceto roupas íntimas",2
1412-6/03,"Facção de peças do vestuário, exceto roupas íntimas",2
1413-4/01,"Confecção de roupas profissionais, exceto sob medida",2
1413-4/02,"Confecção, sob medida, de roupas profissionais",2
1413-4/03,Facção de roupas profissionais,2
1414-2/00,"Fabricação de acessórios do vestuário, exceto para segurança e proteção",2
1421-5/00,Fabricação de meias,2
1422-3/00,"Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias",2
1510-6/00,Curtimento e outras preparações de couro,3
1521-1/00,"Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material",2
1529-7/00,Fabricação de artefatos de couro não especificados anteriormente,2
1531-9/01,Fabricação de calçados de couro,3
1531-9/02,Acabamento de calçados de couro sob contrato,3
1532-7/00,Fabricação de tênis de qualquer material,3
1533-5/00,Fabricação de calçados de material sintético,3
1539-4/00,"Fabricação de calçados de materiais não especificados
anteriormente",3
1540-8/00,"Fabricação de partes para calçados, de qualquer material",3
1610-2/03,Serrarias com desdobramento de madeira em bruto,3
1610-2/04,Serrarias sem desdobramento de madeira em bruto - Resseragem,3
1610-2/05,Serviço de tratamento de madeira realizado sob contrato,3
1621-8/00,"Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada",3
1622-6/01,Fabricação de casas de madeira pré-fabricadas,3
1622-6/02,Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais,3
1622-6/99,Fabricação de outros artigos de carpintaria para construção,3
1623-4/00,Fabricação de artefatos de tanoaria e de embalagens de madeira,3
1629-3/01,"Fabricação de artefatos diversos de madeira, exceto móveis",3
1629-3/02,"Fabricação de artefatos diversos de cortiça, bambu, palha, vime e outros materiais trançados, exceto móveis",3
1710-9/00,Fabricação de celulose e outras pastas para a fabricação de papel,3
1721-4/00,Fabricação de papel,3
1722-2/00,Fabricação de cartolina e papel-cartão,3
1731-1/00,Fabricação de embalagens de papel,2
1732-0/00,Fabricação de embalagens de cartolina e papel-cartão,2
1733-8/00,Fabricação de chapas e de embalagens de papelão ondulado,2
1741-9/01,Fabricação de formulários contínuos,2
1741-9/02,"Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório",2
1742-7/01,Fabricação de fraldas descartáveis,2
1742-7/02,Fabricação de absorventes higiênicos,2
1742-7/99,Fabricação de produtos de papel para uso doméstico e higiênico-sanitário não especificados anteriormente,2
1749-4/00,"Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente",2
1811-3/01,Impressão de jornais,3
1811-3/02,"Impressão de livros, revistas e outras publicações periódicas",3
1812-1/00,Impressão de material de segurança,3
1813-0/01,Impressão de material para uso publicitário,3
1813-0/99,Impressão de material para outros usos,3
1821-1/00,Serviços de pré-impressão,3
1822-9/01,Serviços de encadernação e plastificação,3
1822-9/99,"Serviços de acabamentos gráficos, exceto encadernação e plastificação",3
1830-0/01,Reprodução de som em qualquer suporte,3
1830-0/02,Reprodução de vídeo em qualquer suporte,3
1830-0/03,Reprodução de software em qualquer suporte,3
1910-1/00,Coquerias,3
1921-7/00,Fabricação de produtos do refino de petróleo,3
1922-5/01,Formulação de combustíveis,3
1922-5/02,Rerrefino de óleos lubrificantes,3
1922-5/99,"Fabricação de outros produtos derivados do petróleo, exceto produtos do refino",3
1931-4/00,Fabricação de álcool,3
1932-2/00,"Fabricação de biocombustíveis, exceto álcool",3
2011-8/00,Fabricação de cloro e álcalis,3
2012-6/00,Fabricação de intermediários para fertilizantes,3
2013-4/01,Fabricação de adubos e fertilizantes organo-minerais,3
2013-4/02,"Fabricação de adubos e fertilizantes, exceto organo-minerais",3
2014-2/00,Fabricação de gases industriais,3
2019-3/01,Elaboração de combustíveis nucleares,3
2019-3/99,Fabricação de outros produtos químicos inorgânicos não especificados anteriormente,3
2021-5/00,Fabricação de produtos petroquímicos básicos,3
2022-3/00,"Fabricação de intermediários para plastificantes, resinas e fibras",3
2029-1/00,Fabricação de produtos químicos orgânicos não especificados anteriormente,3
2031-2/00,Fabricação de resinas termoplásticas,3
2032-1/00,Fabricação de resinas termofixas,3
2033-9/00,Fabricação de elastômeros,3
2040-1/00,Fabricação de fibras artificiais e sintéticas,3
2051-7/00,Fabricação de defensivos agrícolas,3
2052-5/00,Fabricação de desinfestantes domissanitários,3
2061-4/00,Fabricação de sabões e detergentes sintéticos,3
2062-2/00,Fabricação de produtos de limpeza e polimento,3
2063-1/00,"Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal",2
2071-1/00,"Fabricação de tintas, vernizes, esmaltes e lacas",3
2072-0/00,Fabricação de tintas de impressão,3
2073-8/00,"Fabricação de impermeabilizantes, solventes e produtos afins",3
2091-6/00,Fabricação de adesivos e selantes,3
2092-4/01,"Fabricação de pólvoras, explosivos e detonantes",4
2092-4/02,Fabricação de artigos pirotécnicos,4
2092-4/03,Fabricação de fósforos de segurança,4
2093-2/00,Fabricação de aditivos de uso industrial,3
2094-1/00,Fabricação de catalisadores,3
2099-1/01,"Fabricação de chapas, filmes, papéis e outros materiais e produtos químicos para fotografia",3
2099-1/99,Fabricação de outros produtos químicos não especificados anteriormente,3
2110-6/00,Fabricação de produtos farmoquímicos,3
2121-1/01,Fabricação de medicamentos alopáticos para uso humano,3
2121-1/02,Fabricação de medicamentos homeopáticos para uso humano,3
2121-1/03,Fabricação de medicamentos fitoterápicos para uso humano,3
2122-0/00,Fabricação de medicamentos para uso veterinário,3
2123-8/00,Fabricação de preparações farmacêuticas,3
2211-1/00,Fabricação de pneumáticos e de câmaras-de-ar,3
2212-9/00,Reforma de pneumáticos usados,3
2219-6/00,"Fabricação de artefatos de borracha não especificados 
anteriormente",3
2221-8/00,Fabricação de laminados planos e tubulares de material plástico,3
2222-6/00,Fabricação de embalagens de material plástico,3
2223-4/00,Fabricação de tubos e acessórios de material plástico para uso na construção,3
2229-3/01,Fabricação de artefatos de material plástico para uso pessoal e doméstico,3
2229-3/02,Fabricação de artefatos de material plástico para usos industriais,3
2229-3/03,"Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios",3
2229-3/99,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,3
2311-7/00,Fabricação de vidro plano e de segurança,3
2312-5/00,Fabricação de embalagens de vidro,3
2319-2/00,Fabricação de artigos de vidro,3
2320-6/00,Fabricação de cimento,4
2330-3/01,"Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda",4
2330-3/02,Fabricação de artefatos de cimento para uso na construção,4
2330-3/03,Fabricação de artefatos de fibrocimento para uso na construção,4
2330-3/04,Fabricação de casas pré-moldadas de concreto,4
2330-3/05,Preparação de massa de concreto e argamassa para construção,4
2330-3/99,"Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",4
2341-9/00,Fabricação de produtos cerâmicos refratários,4
2342-7/01,Fabricação de azulejos e pisos,3
2342-7/02,"Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos",3
2349-4/01,Fabricação de material sanitário de cerâmica,4
2349-4/99,Fabricação de produtos cerâmicos não refratários não especificados anteriormente,4
2391-5/01,"Britamento de pedras, exceto associado à extração",3
2391-5/02,"Aparelhamento de pedras para construção, exceto associado à extração",3
2391-5/03,"Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras",3
2392-3/00,Fabricação de cal e gesso,4
2399-1/01,"Decoração, lapidação, gravação, vitrificação e outros trabalhos em cerâmica, louça, vidro e cristal",3
2399-1/02,Fabricação de abrasivos,3
2399-1/99,Fabricação de outros produtos de minerais não metálicos não especificados anteriormente,3
2411-3/00,Produção de ferro-gusa,4
2412-1/00,Produção de ferroligas,4
2421-1/00,Produção de semiacabados de aço,4
2422-9/01,"Produção de laminados planos de aço ao carbono, revestidos ou não",4
2422-9/02,Produção de laminados planos de aços especiais,4
2423-7/01,Produção de tubos de aço sem costura,4
2423-7/02,"Produção de laminados longos de aço, exceto tubos",4
2424-5/01,Produção de arames de aço,4
2424-5/02,"Produção de relaminados, trefilados e perfilados de aço, exceto arames",4
2431-8/00,Produção de tubos de aço com costura,4
2439-3/00,Produção de outros tubos de ferro e aço,4
2441-5/01,Produção de alumínio e suas ligas em formas primárias,4
2441-5/02,Produção de laminados de alumínio,4
2442-3/00,Metalurgia dos metais preciosos,4
2443-1/00,Metalurgia do cobre,4
2449-1/01,Produção de zinco em formas primárias,4
2449-1/02,Produção de laminados de zinco,4
2449-1/03,Fabricação de ânodos para galvanoplastia,4
2449-1/99,Metalurgia de outros metais não ferrosos e suas ligas não especificados anteriormente,4
2451-2/00,Fundição de ferro e aço,4
2452-1/00,Fundição de metais não ferrosos e suas ligas,4
2511-0/00,Fabricação de estruturas metálicas,4
2512-8/00,Fabricação de esquadrias de metal,3
2513-6/00,Fabricação de obras de caldeiraria pesada,3
2521-7/00,"Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central",3
2522-5/00,"Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos",3
2531-4/01,Produção de forjados de aço,4
2531-4/02,Produção de forjados de metais não ferrosos e suas ligas,4
2532-2/01,Produção de artefatos estampados de metal,4
2532-2/02,Metalurgia do pó,4
2539-0/01,"Serviços de usinagem, torneiria e solda",4
2539-0/02,Serviços de tratamento e revestimento em metais,4
2541-1/00,Fabricação de artigos de cutelaria,3
2542-0/00,"Fabricação de artigos de serralheria, exceto esquadrias",3
2543-8/00,Fabricação de ferramentas,3
2550-1/01,"Fabricação de equipamento bélico pesado, exceto veículos militares de combate",4
2550-1/02,"Fabricação de armas de fogo, outras armas e munições",4
2591-8/00,Fabricação de embalagens metálicas,3
2592-6/01,Fabricação de produtos de trefilados de metal padronizados,4
2592-6/02,"Fabricação de produtos de trefilados de metal, exceto padronizados",4
2593-4/00,Fabricação de artigos de metal para uso doméstico e pessoal,3
2599-3/01,Serviços de confecção de armações metálicas para a construção,3
2599-3/02,Serviço de corte e dobra de metais,3
2599-3/99,Fabricação de outros produtos de metal não especificados anteriormente,3
2610-8/00,Fabricação de componentes eletrônicos,3
2621-3/00,Fabricação de equipamentos de informática,3
2622-1/00,Fabricação de periféricos para equipamentos de informática,3
2631-1/00,"Fabricação de equipamentos transmissores de comunicação, peças e acessórios",3
2632-9/00,"Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação, peças e acessórios",3
2640-0/00,"Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo",3
2651-5/00,"Fabricação de aparelhos e equipamentos de medida, teste e controle",3
2652-3/00,Fabricação de cronômetros e relógios,3
2660-4/00,Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação,3
2670-1/01,"Fabricação de equipamentos e instrumentos ópticos, peças e acessórios",3
2670-1/02,"Fabricação de aparelhos fotográficos e cinematográficos, peças e acessórios",3
2680-9/00,"Fabricação de mídias virgens, magnéticas e ópticas",3
2710-4/01,"Fabricação de geradores de corrente contínua e alternada, peças e acessórios",3
2710-4/02,"Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios",3
2710-4/03,"Fabricação de motores elétricos, peças e acessórios",3
2721-0/00,"Fabricação de pilhas, baterias e acumuladores elétricos, exceto para veículos automotores",3
2722-8/01,Fabricação de baterias e acumuladores para veículos automotores,3
2722-8/02,Recondicionamento de baterias e acumuladores para veículos automotores,3
2731-7/00,Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica,3
2732-5/00,Fabricação de material elétrico para instalações em circuito de consumo,3
2733-3/00,"Fabricação de fios, cabos e condutores elétricos isolados",3
2740-6/01,Fabricação de lâmpadas,3
2740-6/02,Fabricação de luminárias e outros equipamentos de iluminação,3
2751-1/00,"Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico, peças e acessórios",3
2759-7/01,"Fabricação de aparelhos elétricos de uso pessoal, peças e acessórios",3
2759-7/99,"Fabricação de outros aparelhos eletrodomésticos não especificados anteriormente, peças e acessórios",3
2790-2/01,"Fabricação de eletrodos, contatos e outros artigos de carvão e grafita para uso elétrico, eletroímãs e isoladores",3
2790-2/02,Fabricação de equipamentos para sinalização e alarme,3
2790-2/99,Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente,3
2811-9/00,"Fabricação de motores e turbinas, peças e acessórios, exceto para aviões e veículos rodoviários",3
2812-7/00,"Fabricação de equipamentos hidráulicos e pneumáticos, peças e acessórios, exceto válvulas",3
2813-5/00,"Fabricação de válvulas, registros e dispositivos semelhantes, peças e acessórios",3
2814-3/01,"Fabricação de compressores para uso industrial, peças e acessórios",3
2814-3/02,"Fabricação de compressores para uso não industrial, peças e acessórios",3
2815-1/01,Fabricação de rolamentos para fins industriais,3
2815-1/02,"Fabricação de equipamentos de transmissão para fins industriais, exceto rolamentos",3
2821-6/01,"Fabricação de fornos industriais, aparelhos e equipamentos não elétricos para instalações térmicas, peças e acessórios",3
2821-6/02,"Fabricação de estufas e fornos elétricos para fins industriais, peças e acessórios",3
2822-4/01,"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de pessoas, peças e acessórios",3
2822-4/02,"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas, peças e acessórios",3
2823-2/00,"Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial, peças e acessórios",3
2824-1/01,Fabricação de aparelhos e equipamentos de ar condicionado para uso industrial,3
2824-1/02,Fabricação de aparelhos e equipamentos de ar condicionado para uso não industrial,3
2825-9/00,"Fabricação de máquinas e equipamentos para saneamento básico e ambiental, peças e acessórios",3
2829-1/01,"Fabricação de máquinas de escrever, calcular e outros equipamentos não eletrônicos para escritório, peças e acessórios",3
2829-1/99,"Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios",3
2831-3/00,"Fabricação de tratores agrícolas, peças e acessórios",3
2832-1/00,"Fabricação de equipamentos para irrigação agrícola, peças e acessórios",3
