CODIGO;TITULO
777105;Carpinteiro naval (construção de pequenas embarcações)
777110;Carpinteiro naval (embarcações)
777115;Carpinteiro naval (estaleiros)
374205;Cenotécnico (cinema, vídeo, televisão, teatro e espetáculos)
351110;Chefe de contabilidade (técnico)
324215;Citotécnico
341325;Condutor de máquinas (mecânico)
341305;Condutor maquinista motorista fluvial
414215;Conferente de carga e descarga
413220;Conferente de serviços bancários
414120;Conferente mercadoria (exceto carga e descarga)
516335;Conferente-expedidor de roupas (lavanderias)
351115;Consultor contábil (técnico)
241040;Consultor jurídico
252210;Contador
513225;Cozinheiro de embarcações
513220;Cozinheiro de hospital
513210;Cozinheiro do serviço doméstico
513205;Cozinheiro geral
513215;Cozinheiro industrial
391105;Cronoanalista
318610;Desenhista projetista mecânico
318005;Desenhista técnico
318105;Desenhista técnico (arquitetura)
318405;Desenhista técnico (artes gráficas)
318310;Desenhista técnico (calefação, ventilação e refrigeração)
318110;Desenhista técnico (cartografia)
318115;Desenhista técnico (construção civil)
318305;Desenhista técnico (eletricidade e eletrônica)
318410;Desenhista técnico (ilustrações artísticas)
318415;Desenhista técnico (ilustrações técnicas)
318420;Desenhista técnico (indústria têxtil)
318120;Desenhista técnico (instalações hidrossanitárias)
318425;Desenhista técnico (mobiliário)
318210;Desenhista técnico aeronáutico
318430;Desenhista técnico de embalagens, maquetes e leiautes
318205;Desenhista técnico mecânico
318215;Desenhista técnico naval
317110;Desenvolvedor de sistemas de tecnologia da informação (técnico)
317105;Desenvolvedor web (técnico)
123105;Diretor administrativo
123110;Diretor administrativo e financeiro
341315;Eletricista de bordo
715615;Eletricista de instalações
953105;Eletricista de instalações (aeronaves)
715605;Eletricista de instalações (cenários)
715610;Eletricista de instalações (edifícios)
953110;Eletricista de instalações (embarcações)
953115;Eletricista de instalações (veículos automotores e máquinas operatrizes, exceto aeronaves e embarcações)
732105;Eletricista de manutenção de linhas elétricas, telefônicas e de comunicação de dados
951105;Eletricista de manutenção eletroeletrônica
954105;Eletromecânico de manutenção de elevadores
954110;Eletromecânico de manutenção de escadas rolantes
954115;Eletromecânico de manutenção de portas automáticas
313105;Eletrotécnico
313110;Eletrotécnico (produção de energia)
313115;Eletrotécnico na fabricação, montagem e instalação de máquinas e equipamentos
512115;Empregado doméstico  faxineiro
223505;Enfermeiro
223510;Enfermeiro auditor
223565;Enfermeiro da estratégia de saúde da família
223515;Enfermeiro de bordo
223520;Enfermeiro de centro cirúrgico
223525;Enfermeiro de terapia intensiva
223530;Enfermeiro do trabalho
223580;Enfermeiro estomaterapeuta
223585;Enfermeiro forense
223535;Enfermeiro nefrologista
223540;Enfermeiro neonatologista
223545;Enfermeiro obstétrico
223550;Enfermeiro psiquiátrico
223555;Enfermeiro puericultor e pediátrico
223560;Enfermeiro sanitarista
214425;Engenheiro aeronáutico
214805;Engenheiro agrimensor
222105;Engenheiro agrícola
222110;Engenheiro agrônomo
214005;Engenheiro ambiental
214380;Engenheiro biomédico
214810;Engenheiro cartógrafo
214205;Engenheiro civil
214210;Engenheiro civil (aeroportos)
214215;Engenheiro civil (edificações)
214220;Engenheiro civil (estruturas metálicas)
214225;Engenheiro civil (ferrovias e metrovias)
214230;Engenheiro civil (geotécnia)
214235;Engenheiro civil (hidrologia)
214240;Engenheiro civil (hidráulica)
214245;Engenheiro civil (pontes e viadutos)
214250;Engenheiro civil (portos e vias navegáveis)
214255;Engenheiro civil (rodovias)
214260;Engenheiro civil (saneamento)
214270;Engenheiro civil (transportes e trânsito)
214265;Engenheiro civil (túneis)
222205;Engenheiro de alimentos
212205;Engenheiro de aplicativos em computação
214910;Engenheiro de controle de qualidade
202110;Engenheiro de controle e automação
214375;Engenheiro de energia
212210;Engenheiro de equipamentos em computação
214945;Engenheiro de logistica
214335;Engenheiro de manutenção de telecomunicações
214605;Engenheiro de materiais
214705;Engenheiro de minas
214710;Engenheiro de minas (beneficiamento)
214715;Engenheiro de minas (lavra a céu aberto)
214720;Engenheiro de minas (lavra subterrânea)
214725;Engenheiro de minas (pesquisa mineral)
214730;Engenheiro de minas (planejamento)
214735;Engenheiro de minas (processo)
214740;Engenheiro de minas (projeto)
222115;Engenheiro de pesca
214905;Engenheiro de produção
214350;Engenheiro de redes de comunicação
214920;Engenheiro de riscos
214915;Engenheiro de segurança do trabalho
214340;Engenheiro de telecomunicações
214925;Engenheiro de tempos e movimentos
214305;Engenheiro eletricista
214315;Engenheiro eletricista de manutenção
214320;Engenheiro eletricista de projetos
214310;Engenheiro eletrônico
214325;Engenheiro eletrônico de manutenção
214330;Engenheiro eletrônico de projetos
222120;Engenheiro florestal
202105;Engenheiro mecatrônico
214405;Engenheiro mecânico
214415;Engenheiro mecânico (energia nuclear)
214410;Engenheiro mecânico automotivo
214420;Engenheiro mecânico industrial
214610;Engenheiro metalurgista
214430;Engenheiro naval
214345;Engenheiro projetista de telecomunicações
214505;Engenheiro químico
214510;Engenheiro químico (indústria química)
214515;Engenheiro químico (mineração, metalurgia, siderurgia, cimenteira e cerâmica)
214520;Engenheiro químico (papel e celulose)
214525;Engenheiro químico (petróleo e borracha)
214530;Engenheiro químico (utilidades e meio ambiente)
214540;Engenheiro têxtil
212215;Engenheiros de sistemas operacionais em computação
414125;Estoquista
223415;Farmacêutico analista clínico
514320;Faxineiro
821205;Forneiro e operador (alto-forno)
821210;Forneiro e operador (conversor a oxigênio)
821215;Forneiro e operador (forno elétrico)
821220;Forneiro e operador (refino de metais não-ferrosos)
821225;Forneiro e operador de forno de redução direta
142105;Gerente administrativo
142305;Gerente comercial
141805;Gerente de administração em aeroportos
141710;Gerente de agência
142415;Gerente de almoxarifado
141515;Gerente de bar
253205;Gerente de captação (fundos e investimentos institucionais)
253210;Gerente de clientes especiais (private)
142405;Gerente de compras
142310;Gerente de comunicação
253215;Gerente de contas - pessoa física e jurídica
141720;Gerente de crédito e cobrança
141725;Gerente de crédito imobiliário
141730;Gerente de crédito rural
141715;Gerente de câmbio e comércio exterior
142210;Gerente de departamento pessoal
142510;Gerente de desenvolvimento de sistemas
141810;Gerente de empresa aérea e empresa de serviços auxiliares ao transporte aéreo (esata) em aeroportos
142140;Gerente de facility management
253220;Gerente de grandes contas (corporate)
141505;Gerente de hotel
142505;Gerente de infraestrutura de tecnologia da informação
131315;Gerente de instituição educacional da área privada
141615;Gerente de logística (armazenagem e distribuição)
141415;Gerente de loja e supermercado
142315;Gerente de marketing
142515;Gerente de operação de tecnologia da informação
141820;Gerente de operações de cargas
141610;Gerente de operações de correios e telecomunicações
141420;Gerente de operações de serviços de assistência técnica
141605;Gerente de operações de transportes
141815;Gerente de operações em aeroportos
141520;Gerente de pensão
142605;Gerente de pesquisa e desenvolvimento (p&d)
141705;Gerente de produtos bancários
141205;Gerente de produção e operações
141105;Gerente de produção e operações  aqüícolas
141110;Gerente de produção e operações  florestais
141115;Gerente de produção e operações agropecuárias
141305;Gerente de produção e operações da construção civil e obras públicas
141120;Gerente de produção e operações pesqueiras
142520;Gerente de projetos de tecnologia da informação
142705;Gerente de projetos e serviços de manutenção
141735;Gerente de recuperação de crédito
142205;Gerente de recursos humanos
141510;Gerente de restaurante
142110;Gerente de riscos
141825;Gerente de segurança da aviação civil
142525;Gerente de segurança da informação
141830;Gerente de segurança operacional (aviação civil)
131115;Gerente de serviços culturais
131210;Gerente de serviços de saúde
131320;Gerente de serviços educacionais da área pública
131120;Gerente de serviços sociais
142530;Gerente de suporte técnico de tecnologia da informação
142410;Gerente de suprimentos
141525;Gerente de turismo
142320;Gerente de vendas
142115;Gerente financeiro
766130;Gravador de matriz para rotogravura (eletromecânico e químico)
732125;Instalador eletricista (tração de veículos)
233205;Instrutor de aprendizagem e treinamento agropecuário
233215;Instrutor de aprendizagem e treinamento comercial
233210;Instrutor de aprendizagem e treinamento industrial
333105;Instrutor de auto-escola
333110;Instrutor de cursos livres
322740;Instrutor de meditação
623035;Instrutor de mobilidade com cães-guia
322140;Instrutor de pilates
215315;Instrutor de vôo
322735;Instrutor de yoga
782730;Marinheiro auxiliar de convés (marítimo e aquaviario)
782735;Marinheiro auxiliar de máquinas (marítimo e aquaviário)
914105;Mecânico de manutenção de aeronaves, em geral
913105;Mecânico de manutenção de aparelhos de levantamento
919305;Mecânico de manutenção de aparelhos esportivos e de ginástica
914405;Mecânico de manutenção de automóveis e veículos similares
919310;Mecânico de manutenção de bicicletas e veículos similares
911105;Mecânico de manutenção de bomba injetora (exceto de veículos automotores)
911110;Mecânico de manutenção de bombas
911115;Mecânico de manutenção de compressores de ar
914410;Mecânico de manutenção de empilhadeiras e outros veículos de cargas leves
913110;Mecânico de manutenção de equipamento de mineração
954120;Mecânico de manutenção de instalações mecânicas de edifícios
914415;Mecânico de manutenção de motocicletas
911120;Mecânico de manutenção de motores diesel (exceto de veículos automotores)
914205;Mecânico de manutenção de motores e equipamentos navais
913115;Mecânico de manutenção de máquinas agrícolas
919205;Mecânico de manutenção de máquinas cortadoras de grama, roçadeiras, motosserras e similares
913120;Mecânico de manutenção de máquinas de construção e terraplenagem
911310;Mecânico de manutenção de máquinas gráficas
911315;Mecânico de manutenção de máquinas operatrizes (lavra de madeira)
911320;Mecânico de manutenção de máquinas têxteis
911305;Mecânico de manutenção de máquinas, em geral
911325;Mecânico de manutenção de máquinas-ferramentas (usinagem de metais)
911125;Mecânico de manutenção de redutores
914110;Mecânico de manutenção de sistema hidráulico de aeronaves (serviços de pista e hangar)
914420;Mecânico de manutenção de tratores
911130;Mecânico de manutenção de turbinas (exceto de aeronaves)
911135;Mecânico de manutenção de turbocompressores
914305;Mecânico de manutenção de veículos ferroviários
911205;Mecânico de manutenção e instalação de aparelhos de climatização e  refrigeração
725705;Mecânico de refrigeração e climatização
914425;Mecânico de veículos automotores a diesel (exceto tratores)
341115;Mecânico de vôo
725405;Mecânico montador de motores de aeronaves
725410;Mecânico montador de motores de embarcações
725415;Mecânico montador de motores de explosão e diesel
725420;Mecânico montador de turboalimentadores
720215;Mestre (indústria de máquinas e outros equipamentos mecânicos)
731105;Montador de equipamentos eletroeletrônicos odonto-médico-hospitalares
731110;Montador de equipamentos eletrônicos (computadores e equipamentos auxiliares)
782510;Motorista de caminhão (rotas regionais e internacionais)
782305;Motorista de carro de passeio
782310;Motorista de furgão ou veículo similar
782415;Motorista de trólebus
782315;Motorista de táxi
782405;Motorista de ônibus rodoviário
782410;Motorista de ônibus urbano
782515;Motorista operacional de guincho
225105;Médico acupunturista
225110;Médico alergista e imunologista
225148;Médico anatomopatologista
225151;Médico anestesiologista
225115;Médico angiologista
225154;Médico antroposófico
225290;Médico cancerologista cirurgíco
225122;Médico cancerologista pediátrico
225120;Médico cardiologista
225210;Médico cirurgião cardiovascular
225295;Médico cirurgião da mão
225215;Médico cirurgião de cabeça e pescoço
225220;Médico cirurgião do aparelho digestivo
225225;Médico cirurgião geral
225230;Médico cirurgião pediátrico
225235;Médico cirurgião plástico
225240;Médico cirurgião torácico
225305;Médico citopatologista
225125;Médico clínico
225280;Médico coloproctologista
225142;Médico da estratégia de saúde da família
225130;Médico de família e comunidade
225135;Médico dermatologista
225140;Médico do trabalho
225203;Médico em cirurgia vascular
225310;Médico em endoscopia
225145;Médico em medicina de tráfego
225150;Médico em medicina intensiva
225315;Médico em medicina nuclear
225320;Médico em radiologia e diagnóstico por imagem
225155;Médico endocrinologista e metabologista
225160;Médico fisiatra
225165;Médico gastroenterologista
225170;Médico generalista
225175;Médico geneticista
225180;Médico geriatra
225250;Médico ginecologista e obstetra
225185;Médico hematologista
225340;Médico hemoterapeuta
225345;Médico hiperbarista
225195;Médico homeopata
225103;Médico infectologista
225106;Médico legista
225255;Médico mastologista
225109;Médico nefrologista
225260;Médico neurocirurgião
225350;Médico neurofisiologista clínico
225112;Médico neurologista
225118;Médico nutrologista
225265;Médico oftalmologista
225121;Médico oncologista clínico
225270;Médico ortopedista e traumatologista
225275;Médico otorrinolaringologista
225325;Médico patologista
225335;Médico patologista clínico / medicina laboratorial
225124;Médico pediatra
225127;Médico pneumologista
225133;Médico psiquiatra
225355;Médico radiologista intervencionista
225330;Médico radioterapeuta
225136;Médico reumatologista
225139;Médico sanitarista
225285;Médico urologista
223305;Médico veterinário
242910;Oficial técnico de inteligência
862160;Operador de abastecimento de combustível de aeronave
761205;Operador de abertura (fiação)
766315;Operador de acabamento (indústria gráfica)
722215;Operador de acabamento de peças fundidas
821230;Operador de aciaria (basculamento de convertedor)
821235;Operador de aciaria (dessulfuração de gusa)
821240;Operador de aciaria (recebimento de gusa)
781310;Operador de aeronaves não tripuladas
712110;Operador de aparelho de flotação
712115;Operador de aparelho de precipitação (minas de ouro ou prata)
811420;Operador de aparelho de reação e conversão (produtos químicos, exceto petróleo)
342535;Operador de atendimento aeroviário
823135;Operador de atomizador
823235;Operador de banho metálico de vidro por flutuação
715105;Operador de bate-estacas
862115;Operador de bateria de gás de hulha
715405;Operador de betoneira
761210;Operador de binadeira
761215;Operador de bobinadeira
821420;Operador de bobinadeira de tiras a quente, no acabamento de chapas e metais
715410;Operador de bomba de concreto
831110;Operador de branqueador de pasta para fabricação de papel
811115;Operador de britadeira (tratamentos químicos e afins)
811605;Operador de britador de coque
712120;Operador de britador de mandíbulas
821425;Operador de cabine de laminação (fio-máquina)
421125;Operador de caixa
813110;Operador de calandra (química, petroquímica e afins)
761415;Operador de calandras (tecidos)
811205;Operador de calcinação (tratamento químico e afins)
862120;Operador de caldeira
711205;Operador de caminhão (minas e pedreiras)
761220;Operador de cardas
811610;Operador de carro de apagamento e coque
992215;Operador de ceifadeira na conservação de vias permanentes
715415;Operador de central de concreto
861105;Operador de central hidrelétrica
861115;Operador de central termoelétrica
811305;Operador de centrifugadora (tratamentos químicos e afins)
821105;Operador de centro de controle ( sinterização)
342410;Operador de centro de controle (ferrovia e metrô)
721405;Operador de centro de usinagem com comando numérico
773505;Operador de centro de usinagem de madeira (cnc)
761420;Operador de chamuscadeira de tecidos
413230;Operador de cobrança bancária
642005;Operador de colhedor florestal
641005;Operador de colheitadeira
715110;Operador de compactadora de solos
862130;Operador de compressor de ar
317205;Operador de computador
811120;Operador de concentração
761225;Operador de conicaleira
